customer_id,segment_name,recency,frequency,monetary,ticket_count,sessions_30d
CUST00001,Loyal Customers,107,6,2955.57,2.0,1
CUST00002,Potential Loyalists,40,1,581.0,1.0,8
CUST00003,At Risk,171,1,649.98,0.0,1
CUST00004,At Risk,131,1,1604.04,0.0,1
CUST00005,Potential Loyalists,38,4,2550.91,1.0,18
CUST00006,Loyal Customers,51,5,3770.16,2.0,2
CUST00007,Potential Loyalists,3,1,719.33,0.0,11
CUST00008,Potential Loyalists,47,4,2747.33,1.0,2
CUST00009,Potential Loyalists,31,1,376.85,0.0,11
CUST00010,Potential Loyalists,9,1,636.8,0.0,13
CUST00011,Potential Loyalists,1,2,925.0699999999999,0.0,10
CUST00012,Potential Loyalists,50,2,2051.63,1.0,3
CUST00013,Potential Loyalists,61,3,1754.44,1.0,4
CUST00014,Loyal Customers,51,11,8130.16,2.0,11
CUST00015,Potential Loyalists,35,4,4200.93,0.0,6
CUST00016,At Risk,215,1,478.02,1.0,2
CUST00017,At Risk,286,3,1699.1399999999999,0.0,4
CUST00018,At Risk,111,1,329.21,0.0,3
CUST00019,Potential Loyalists,9,2,1598.93,0.0,5
CUST00020,At Risk,368,3,4487.950000000001,1.0,0
CUST00021,Potential Loyalists,77,2,1059.3,1.0,3
CUST00022,Potential Loyalists,29,1,454.06,0.0,10
CUST00023,Potential Loyalists,21,1,400.98,0.0,3
CUST00024,Potential Loyalists,4,1,481.35,0.0,13
CUST00025,Loyal Customers,165,7,4868.86,3.0,11
CUST00026,Potential Loyalists,72,3,3561.3900000000003,1.0,14
CUST00027,Potential Loyalists,70,1,2128.34,1.0,11
CUST00028,Potential Loyalists,83,2,1489.7800000000002,1.0,1
CUST00029,Champions,18,8,5252.9,0.0,1
CUST00030,Champions,5,6,3435.5899999999997,2.0,11
CUST00031,Potential Loyalists,49,1,672.95,0.0,6
CUST00032,Potential Loyalists,33,3,1948.75,0.0,12
CUST00033,Potential Loyalists,12,4,2128.09,2.0,7
CUST00034,Loyal Customers,50,6,3353.01,3.0,7
CUST00035,At Risk,127,3,1369.71,0.0,6
CUST00036,Potential Loyalists,27,4,1737.33,1.0,0
CUST00037,At Risk,102,1,435.83,0.0,5
CUST00038,Potential Loyalists,51,4,2104.61,1.0,5
CUST00039,Potential Loyalists,15,3,1598.49,0.0,6
CUST00040,At Risk,154,1,634.73,1.0,1
CUST00041,Potential Loyalists,54,4,1911.8600000000001,1.0,5
CUST00042,Loyal Customers,87,9,7523.74,6.0,3
CUST00043,Potential Loyalists,24,1,363.01,0.0,3
